word;time
Este;1.5
ejercicio;1.8
es;2.6
tan;2.72
solo;2.8
una;3
prueba;3.4
de;3.56
concepto.;3.64
No;5.1
he;5.24
usado;5.3
nunca;5.5
el;5.7
programa;5.9
After;6.2
Effects;6.4
pero;7.2
sin;7.4
embargo;7.5
me;7.9
he;8
lanzado;8.1
a;8.5
la;8.6
piscina;8.7
directamente;9.2
con;9.9
su;10
lenguaje;10.1
de;10.2
script;10.3
extendedscript;11.3
que;12.5
no;12.7
es;12.8
más;12.9
que;13
javascript;13.1
adaptado.;13.7
Todo;15.1
el;15.2
contenido;15.3
salvo;15.9
el;16
audio;16.1
está;16.7
generado;16.9
mediante;17.4
script.;17.7
He;18.8
estructurado;18.9
el;19.4
texto;19.5
en;19.7
un;19.8
archivo;20
csv;20.4
de;21
forma;21.1
que;21.2
cada;21.4
palabra;21.8
se;22.2
asocia;22.3
con;22.7
el;22.8
tiempo;22.9
de;23.13
su;23.23
locución.;24
El;24.7
script;24.8
analiza;25.3
el;25.6
archivo;25.7
y;26.2
crea;26.3
tantas;26.6
capas;26.85
de;27.1
texto;27.4
como;27.7
entradas;27.9
en;28.4
el;28.5
csv;28.6
haya.;28.9
Cada;30.2
capa;30.47
comienza;30.7
en;31
su;31.1
particular;31.3
código;31.8
de;32.7
tiempo.;32.2
Además;33.5
he;34.1
tratado;34.2
de;34.56
jugar;34.7
con;35
las;35.16
extensiones;35.28
y;36.1
he;36.2
añadido;36.3
una;36.6
extensión;36.8
aleatoria;37.27
a;37.8
cada;37.9
una;38.2
de;38.3
las;38.4
capas.;38.5
Este;39.6
ha;39.8
sido;39.9
el;40.1
resultado.;40.23
;NaN
