word;time
Este;4.5
ejercicio;4.8
es;5.6
tan;5.72
solo;5.8
una;6
prueba;6.4
de;6.56
concepto.;6.64
No;8.1
he;8.24
usado;8.3
nunca;8.5
el;8.7
programa;8.9
After;9.2
Effects;9.4
pero;10.2
sin;10.4
embargo;10.5
me;10.9
he;11
lanzado;11.1
a;11.5
la;11.6
piscina;11.7
directamente;12.2
con;12.9
su;13
lenguaje;13.1
de;13.2
script;13.3
extendedscript;14.3
que;15.5
no;15.7
es;15.8
más;15.9
que;16
javascript;16.1
adaptado.;16.7
Todo;18.1
el;18.2
contenido;18.3
salvo;18.9
el;19
audio;19.1
está;19.7
generado;19.9
mediante;20.4
script.;20.7
He;21.8
estructurado;21.9
el;22.4
texto;22.5
en;22.7
un;22.8
archivo;23
csv;23.4
de;24
forma;24.1
que;24.2
cada;24.4
palabra;24.8
se;25.2
asocia;25.3
con;25.7
el;25.8
tiempo;25.9
de;26.13
su;26.23
locución.;27
El;27.7
script;27.8
analiza;28.3
el;28.6
archivo;28.7
y;29.2
crea;29.3
tantas;29.6
capas;29.85
de;30.1
texto;30.4
como;30.7
entradas;30.9
en;31.4
el;31.5
csv;31.6
haya.;31.9
Cada;33.2
capa;33.47
comienza;33.7
en;34
su;34.1
particular;34.3
código;34.8
de;35.7
tiempo.;35.2
Además;36.5
he;37.1
tratado;37.2
de;37.56
jugar;37.7
con;38
las;38.16
extensiones;38.28
y;39.1
he;39.2
añadido;39.3
una;39.6
extensión;39.8
aleatoria;40.27
a;40.8
cada;40.9
una;41.2
de;41.3
las;41.4
capas.;41.5
Este;42.6
ha;42.8
sido;42.9
el;43.1
resultado.;43.23
